family	label	support	tp	fp	fn	precision	recall	precision_ci	recall_ci
(global)	datetime.component.year	30	30	2	0	0.938	1.000	0.80-0.98	0.89-1.00
(global)	datetime.date.iso	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	geography.coordinate.latitude	34	34	0	0	1.000	1.000	0.90-1.00	0.90-1.00
(global)	geography.coordinate.longitude	32	32	0	0	1.000	1.000	0.89-1.00	0.89-1.00
(global)	geography.location.country_code	30	29	0	1	1.000	0.967	0.88-1.00	0.83-0.99
(global)	representation.discrete.categorical	30	29	1	1	0.967	0.967	0.83-0.99	0.83-0.99
(global)	representation.identifier.alphanumeric_id	30	28	0	2	1.000	0.933	0.88-1.00	0.79-0.98
(global)	representation.numeric.decimal_number	32	32	0	0	1.000	1.000	0.89-1.00	0.89-1.00
(global)	representation.numeric.integer_number	61	36	0	25	1.000	0.590	0.90-1.00	0.46-0.70
(global)	representation.text.plain_text	1	0	0	1	nan	0.000	n/a	0.00-0.79
(global)	technology.internet.url	19	19	5	0	0.792	1.000	0.60-0.91	0.83-1.00
