id	kind	verdict	deferred	current_gold	model_pred	panel_opus	c_opus	panel_sonnet	c_sonnet	panel_haiku	c_haiku	panel_adv	agree	mean_conf	sample_values
g0038	ac-03	PROPOSE		representation.numeric.integer_number	datetime.epoch.unix_milliseconds	unix_milliseconds	0.85	unix_milliseconds	0.85	integer_number	0.95	epoch_millis	2	0.85	1440043595022 | 1440043595132 | 1440046657017 | 1440047019365 | 1440049409017 | 1440054311054 | 1440044972396 | 1440045791928 | 1440048650938 | 1440049760776 | 1440051072729 | 1440051950624 | 1440052283006 | 1440052890047 | 1440054465167 | 0 | 1440043343094 | 1440045929744 | 1440046804733 | 1440053523599
g0060	ac-03	PROPOSE	Y	representation.text.plain_text	geography.location.city	categorical	0.6	categorical	0.85	plain_text	0.85	categorical	2	0.72	room_05_noalive | room_10_noalive | exit spawned | room_10_spawn | reset aranzebia | room_05_killed | aranzebia spawned | room_05_spawn | aranzebia killed | room_10_killed
g0061	ac-03	PROPOSE		representation.text.plain_text	geography.location.city	categorical	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	plain_text	2	0.85	ProductId | __locale | Locale | EmployeeId | CurrYear | TimesheetId | MessageId | PartnerId | PurchaseOrderId | SaleOrderId | StockMoveId | LeadId | ManufOrderId | PaymentVoucherId | TaskId | InventoryId | ProductIds | ProjectId | StockLocationId | HeaderHeight
g0062	ac-03	PROPOSE		representation.text.plain_text	geography.location.city	word	0.45	entity_name	0.75	entity_name	0.85	entity_name	2	0.8	ponderosa | Namibia | cinerea | pomonae
g0063	ac-03	PROPOSE		representation.text.plain_text	geography.location.region	categorical	0.8	categorical	0.95	entity_name	0.85	categorical	2	0.88	Grouping-1 | Grouping-3 | Grouping-2
g0064	ac-03	PROPOSE		representation.text.plain_text	representation.discrete.categorical	word	0.45	entity_name	0.75	entity_name	0.85	entity_name	2	0.8	sampathense | Trochodium | ajrekarii | ipomoeae
g0065	ac-03	PROPOSE		representation.text.plain_text	representation.discrete.categorical	alphanumeric_id	0.6	username	0.9	username	0.9	username	2	0.9	abasmayorr | analystabhishek | ehn | iimikay | KBjornOleary | davisonio | henrychanesq
g0067	ac-03	PROPOSE		representation.identifier.alphanumeric_id	representation.identifier.uuid	uuid	0.95	uuid	0.99	uuid	0.98	uuid	3	0.97	42c4a42e-9bac-11eb-a8a2-19ed5c03f8d3 | 7f971048-9bad-11eb-a8a2-19ed5c03f8d3 | ff3bd564-9bac-11eb-a8a2-19ed5c03f8d3 | ff3a6a8a-9bac-11eb-a8a2-19ed5c03f8d3 | ff3b2f74-9bac-11eb-a8a2-19ed5c03f8d3 | ff3b6674-9bac-11eb-a8a2-19ed5c03f8d3 | 232778b6-9bad-11eb-a8a2-19ed5c03f8d3 | ff3473c8-9bac-11eb-a8a2-19ed5c03f8d3 | 80cca360-9bad-11eb-a8a2-19ed5c03f8d3 | 59054670-9bad-11eb-a8a2-19ed5c03f8d3 | ff3ba27e-9bac-11eb-a8a2-19ed5c03f8d3 | 3f8482c0-9bac-11eb-a8a2-19ed5c03f8d3 | 23269b76-9bad-11eb-a8a2-19ed5c03f8d3 | 23270b2e-9bad-11eb-a8a2-19ed5c03f8d3 | 307696aa-9bad-11eb-a8a2-19ed5c03f8d3 | 2327436e-9bad-11eb-a8a2-19ed5c03f8d3 | 23285eac-9bad-11eb-a8a2-19ed5c03f8d3 | ff3c3928-9bac-11eb-a8a2-19ed5c03f8d3 | a6e3b454-9bac-11eb-a8a2-19ed5c03f8d3 | 5904dc12-9bad-11eb-a8a2-19ed5c03f8d3
g0072	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1799970.0 | 1800120.0 | 1801675.0 | 1801399.0 | 1801807.0 | 1801774.0 | 1801612.0 | 1801773.0 | 1801309.0 | 1801832.0 | 1801433.0 | 1799431.0 | 1801762.0 | 1801820.0 | 1801579.0 | 1801356.0 | 1801624.0 | 1798007.0 | 1801871.0 | 1801783.0
g0073	ac-03	PROPOSE	Y	representation.numeric.decimal_number	unknown	alphanumeric_id	0.5	alphanumeric_id	0.75	alphanumeric_id	0.9	alphanumeric_id	3	0.72	18813.0 | 18792.0 | 18742.0 | 18636.0 | 18660.0 | 18743.0 | 18699.0 | 18810.0 | 18186.0 | 18669.0 | 18802.0 | 18674.0
g0074	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1994671.0 | 1994989.0 | 1994906.0 | 1994776.0 | 1994824.0 | 1994193.0 | 1994614.0 | 1993801.0 | 1994493.0 | 1994793.0 | 1994903.0 | 1993988.0 | 1991657.0 | 1993902.0 | 1994890.0 | 1993145.0 | 1994724.0 | 1993129.0 | 1994529.0 | 1994951.0
g0075	ac-03	PROPOSE	Y	representation.numeric.decimal_number	unknown	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	199445.0 | 199540.0 | 198946.0 | 199231.0 | 199549.0 | 199569.0 | 199604.0 | 199435.0 | 199617.0 | 199474.0 | 199592.0 | 199524.0 | 1338.0 | 199548.0 | 199614.0 | 199493.0 | 199422.0 | 199593.0
g0076	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1903323.0 | 1904994.0 | 1905064.0 | 1904436.0 | 1900171.0 | 1904363.0 | 1904605.0 | 1903842.0 | 1904494.0 | 1903963.0 | 1904102.0 | 1897745.0 | 1904517.0 | 1904839.0 | 1897543.0 | 1905218.0 | 1903515.0 | 1905181.0 | 1903024.0 | 1905081.0
g0077	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1881262.0 | 1880890.0 | 1880827.0 | 1880691.0 | 1879512.0 | 1881156.0 | 1877668.0 | 1881239.0 | 1881338.0 | 1880412.0 | 1881217.0 | 1880334.0 | 1875306.0 | 1880202.0 | 1866952.0 | 1878829.0 | 1879965.0 | 1880554.0 | 1879776.0 | 1881369.0
g0078	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1775143.0 | 1773818.0 | 1774948.0 | 1774995.0 | 1774156.0 | 1775203.0 | 1775232.0 | 1774771.0 | 1774965.0 | 1771796.0 | 1774854.0 | 1773591.0 | 1775224.0 | 1771361.0 | 1755713.0 | 1773966.0 | 1771129.0 | 1773181.0 | 1775105.0 | 1770435.0
g0079	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1879440.0 | 1878836.0 | 1879399.0 | 1877916.0 | 1878818.0 | 1879327.0 | 1877311.0 | 1879314.0 | 1877779.0 | 1879230.0 | 1879340.0 | 1879279.0 | 1879411.0 | 1878735.0 | 1878096.0 | 1879349.0 | 1879251.0 | 1879282.0 | 1878849.0 | 1879019.0
g0102	ac-03	PROPOSE		representation.text.plain_text	representation.identifier.alphanumeric_id	alphanumeric_id	0.7	alphanumeric_id	0.88	alphanumeric_id	0.9	alphanumeric_id	3	0.83	POOLING_FWD2546610168451649291<CUDNN_POO | ADD_TENSOR12202121107654337629 | CONV_FWD_48927790867562783411<CUDNN_CONV | GEMV_FWD11035838480560253961 | CONV_FWD_13834659429299115773<CUDNN_CONV | POOLING_FWD11252459451785600465<CUDNN_PO | ACTIVATION_FWD7850337265161305475<CUDNN_ | SOFTMAX_FWD9955186565751125701<CUDNN_SOF | ADD_TENSOR9959339510440166639 | Total | CONV_FWD_16909287495758909848<CUDNN_CONV | ACTIVATION_FWD538251191083493810<CUDNN_A | GEMV_FWD5618815124593369765 | GEMV_FWD18430978388806864932 | ACTIVATION_FWD11629847960605767121<CUDNN | ADD_TENSOR8311727445409006365 | ACTIVATION_FWD11304941407100423307<CUDNN | POOLING_FWD10283823819865775171<CUDNN_PO | ACTIVATION_FWD10241879302339615324<CUDNN | CONV_FWD_47952735667442796269<CUDNN_CONV
g0103	ac-03	PROPOSE	Y	representation.numeric.integer_number	datetime.epoch.unix_milliseconds	alphanumeric_id	0.55	alphanumeric_id	0.85	alphanumeric_id	0.95	alphanumeric_id	3	0.78	1583003222358 | 1581546711081 | 1571255982433 | 1583433121210 | 1585603128148
