# rhh_roadmap.tsv — ac-07 output (final artefact)
# Source: diagnostics/rhh_family_inventory.tsv + diagnostics/rhh_classification.tsv
# proposed_stage: domain of family, or 'cross-domain-stage'.
# blocked_on:
#   empty         — not model-gap; removable (or already kept).
#   v19-retrain   — model-gap finance.currency.amount_* variant.
#   training-data-fortification-<type> — model-gap otherwise;
#     primary target from type_targets[0].
# Schema: family_id\tfile\tline_start\tline_end\tdomain\ttype_targets\tclassification\tproposed_stage\tblocked_on\tnotes
family_id	file	line_start	line_end	domain	type_targets	classification	proposed_stage	blocked_on	notes
header_hint_table	crates/finetype-model/src/column.rs	4018	4260	cross-domain	identity.person.email;technology.internet.url;technology.internet.ip_v4;technology.identifier.uuid;identity.person.gender;representation.numeric.integer_number;datetime.epoch.unix_seconds;datetime.epoch.unix_milliseconds;finance.currency.amount;finance.currency.amount_accounting;finance.currency.amount_apostrophe;finance.currency.amount_code_prefix;finance.currency.amount_comma;finance.currency.amount_comma_suffix;finance.currency.amount_crypto;finance.currency.amount_lakh;finance.currency.amount_multisym;finance.currency.amount_neg_trailing;finance.currency.amount_nodecimal;finance.currency.amount_space	model-gap	cross-domain-stage	v19-retrain	
substring_matcher_identity	crates/finetype-model/src/column.rs	4263	4384	identity	identity.person.email;identity.person.phone_number;identity.person.first_name;identity.person.last_name;identity.person.full_name;identity.person.weight;identity.person.height;identity.credential.password	model-gap	identity	training-data-fortification-identity.person.email	secondary targets: identity.person.phone_number; identity.person.first_name; identity.person.last_name; identity.person.full_name; identity.person.weight; identity.person.height; identity.credential.password
substring_matcher_technology	crates/finetype-model/src/column.rs	4278	4387	technology	technology.internet.ip_v6;technology.internet.ip_v4;technology.internet.url	model-gap	technology	training-data-fortification-technology.internet.ip_v6	secondary targets: technology.internet.ip_v4; technology.internet.url
substring_matcher_geography	crates/finetype-model/src/column.rs	4291	4338	geography	geography.address.postal_code;geography.address.street_address;geography.address.full_address	model-gap	geography	training-data-fortification-geography.address.postal_code	secondary targets: geography.address.street_address; geography.address.full_address
substring_matcher_datetime	crates/finetype-model/src/column.rs	4341	4375	datetime	datetime.date.iso;datetime.timestamp.rfc_2822;datetime.timestamp.rfc_3339;datetime.timestamp.sql_standard;datetime.epoch.unix_seconds;datetime.epoch.unix_milliseconds;datetime.timestamp.iso_8601;datetime.component.year	model-covered	datetime		
substring_matcher_finance	crates/finetype-model/src/column.rs	4390	4426	finance	finance.currency.amount	model-gap	finance	training-data-fortification-finance.currency.amount	
substring_matcher_representation	crates/finetype-model/src/column.rs	4404	4460	representation	representation.numeric.integer_number;representation.discrete.ordinal;representation.alphanumeric.alphanumeric_id;representation.numeric.decimal_number	model-gap	representation	training-data-fortification-representation.numeric.integer_number	secondary targets: representation.discrete.ordinal; representation.alphanumeric.alphanumeric_id; representation.numeric.decimal_number
header_hint_measurement	crates/finetype-model/src/column.rs	980	2200	representation	representation.numeric.decimal_number;representation.numeric.integer_number	no-hit	representation		zero-impact on current eval
header_hint_location	crates/finetype-model/src/column.rs	1054	1054	geography	geography.coordinate.latitude;geography.coordinate.longitude;geography.address.postal_code	no-hit	geography		zero-impact on current eval
header_hint_hardcoded	crates/finetype-model/src/column.rs	1159	2369	cross-domain	cross-domain (routes match_table results)	model-gap	cross-domain-stage	training-data-fortification-cross-domain (routes match_table results)	
header_hint_generic	crates/finetype-model/src/column.rs	1172	2353	cross-domain	cross-domain (generic substring hits)	model-gap	cross-domain-stage	training-data-fortification-cross-domain (generic substring hits)	
header_hint_fallback	crates/finetype-model/src/column.rs	1181	2376	cross-domain	cross-domain (fallback tier)	no-hit	cross-domain-stage		zero-impact on current eval
header_hint	crates/finetype-model/src/column.rs	1147	2337	cross-domain	cross-domain (catchall tier)	model-covered	cross-domain-stage		
header_hint_cross_domain	crates/finetype-model/src/column.rs	1126	2318	cross-domain	cross-domain (cross-domain hardcoded hint promotion at 0.85)	model-gap	cross-domain-stage	training-data-fortification-cross-domain (cross-domain hardcoded hint promotion at 0.85)	keep_required (spec constraint #2 — not removable)
header_hint_same_category	crates/finetype-model/src/column.rs	1098	2296	cross-domain	cross-domain (same-category hardcoded hint promotion at 0.95)	model-gap	cross-domain-stage	training-data-fortification-cross-domain (same-category hardcoded hint promotion at 0.95)	keep_required (spec constraint #2 — not removable)
header_hint_geo_override	crates/finetype-model/src/column.rs	1073	2261	geography	geography.location.* (same-domain location override)	no-hit	geography		zero-impact on current eval
header_hint_person_override	crates/finetype-model/src/column.rs	2241	2241	identity	identity.person.* (hardcoded person-name hint over location)	no-hit	identity		zero-impact on current eval
header_hint_sci_measurement	crates/finetype-model/src/column.rs	994	2213	representation	representation.numeric.decimal_number (sci-measurement override of latitude/longitude)	no-hit	representation		zero-impact on current eval
header_hint_location_keep	crates/finetype-model/src/column.rs	1033	1033	geography	geography.location.* (preserves model's location prediction over person-name hint)	no-hit	geography		zero-impact on current eval
sense_geo_hint_override	crates/finetype-model/src/column.rs	1559	1559	geography	geography.coordinate.latitude;geography.coordinate.longitude	no-hit	geography		zero-impact on current eval
sense_geo_rescue	crates/finetype-model/src/column.rs	1574	1574	geography	geography.coordinate.latitude;geography.coordinate.longitude	no-hit	geography		zero-impact on current eval
sense_header_hint	crates/finetype-model/src/column.rs	1829	1829	cross-domain	cross-domain (legacy Sense path)	no-hit	cross-domain-stage		zero-impact on current eval
