# Private planning identifiers already published in this repository's COMMIT
# MESSAGES, recorded because they cannot be taken back.
#
# 137 of the 1484 commits reachable from main carry one, in 7 rule shapes,
# measured 2026-08-22, earliest 2026-02-10, latest 2026-08-08:
#
#     planning-card-id          77
#     milestone-id              31
#     private-planning-path     18
#     private-decision-record   10
#     absolute-home-path         6
#     acceptance-criterion       2
#     private-doc-id             2
#
# WHY NOT REWRITTEN. Rewriting a commit message rewrites that commit and every
# commit after it. On this repository that invalidates every published release
# tag, every recorded hash in a downstream package tap, and every clone anyone
# has -- to remove a string that has already been served to every reader and
# every mirror since the day it was pushed. The disclosure is done. What is
# recoverable is the RATE, and that is what the gate that reads this file buys.
#
# Whether to rewrite anyway is not this file's decision to make, and if it is
# ever made this file is the enumeration to work from.
#
# FORMAT, three pipe-separated fields:
#
#     <full 40-character commit sha> | <rule label> | <reason key>
#
# No count, no fingerprint and no matched text. A published commit is immutable,
# so the pair is exact on its own; and the identifier is already in the message,
# so writing it here would only put it in a second place -- in the one file whose
# subject is that the first place cannot be fixed.
#
# THIS FILE IS NOT AN ESCAPE HATCH. A commit that is not yet pushed can be
# amended or rebased, so a new violation is always fixable and is always refused.
# The gate says so itself when it refuses one.

reason pre-gate-history: On main before any gate read a commit message. Rewriting it would rewrite every commit after it and break every published release hash, a cost out of all proportion to removing a string that has already been served to every reader and mirror.

000b2cd2aeeea8128c38817434a94847edc1dc6d | private-planning-path   | pre-gate-history
007adfbe94e2cbcbb68fd8892a862154e68640f9 | milestone-id            | pre-gate-history
00bd2e885e84477f7bffe7e6f4eb0eca723412b8 | planning-card-id        | pre-gate-history
00bfabeee6b86e7bffbb8d43f2e62df83fa284ae | planning-card-id        | pre-gate-history
014dfc4408fe820c65115dc9faba48d39f7be6c1 | planning-card-id        | pre-gate-history
0247671a7e2d9cfd53b802df733fb2ebc5282d55 | milestone-id            | pre-gate-history
06dead0bbf660aa20926404d70f1d5c020c67c30 | milestone-id            | pre-gate-history
071962f236dc300a4c7777ec3e73243d8b586ec7 | milestone-id            | pre-gate-history
07f27f0d7e5aea6943236c8dab13f076c9b2186b | milestone-id            | pre-gate-history
07f27f0d7e5aea6943236c8dab13f076c9b2186b | private-planning-path   | pre-gate-history
07fb901896a4544f07a694f71a29ac03ddd4a96b | acceptance-criterion    | pre-gate-history
0c25c302a21c850b561bfc7c5360eb8a341b4e30 | private-decision-record | pre-gate-history
0d39fb07440c28ce3943e2985689ba2f9b6eb43a | planning-card-id        | pre-gate-history
0d6486435359cf7ce86123a3ce4553766c5708b7 | milestone-id            | pre-gate-history
0e7756b0524c209b6d7532eee7be424db5384d29 | planning-card-id        | pre-gate-history
102f86a94e1cdf01cf28866c344325366f407a09 | private-decision-record | pre-gate-history
108bee0c09000b197d90a18bd7f0be041782513a | planning-card-id        | pre-gate-history
