source,source_file,column_name,sample_values,blind_label,blind_confidence,finetype_label,finetype_confidence,agreement,final_label,reasoning,ground_truth_label,ground_truth_source
sherlock,,,"[""Internal Links"", ""Internal Links"", ""Internal Links"", ""External Links"", ""Internal Links"", ""Internal Links"", ""Internal Links"", ""Internal Links"", ""Internal Links"", ""Internal Links""]",representation.discrete.categorical,high,geography.location.region,0.9500,no,representation.discrete.categorical,"Blind correct: values are link type labels (Internal/External Links), not geographic regions. FT confused short repeated text.",type,sherlock
sherlock,,,"[""Full qualified JMX ObjectName -- Catalina:type=MBeanFactory"", ""JMX Connection reference"", ""Echo command usage (access and result)""]",representation.text.sentence,high,geography.location.region,0.3330,no,representation.text.sentence,"Blind correct: values are technical descriptions/notes, not geographic regions.",description,sherlock
sherlock,,,"[""VANGUARD NA\u2026"", ""GULFMARK OF\u2026"", ""ENBRIDGE EN\u2026"", ""ORION ENGIN\u2026"", ""SHIP FINANC\u2026""]",representation.text.entity_name,medium,geography.location.city,0.1000,no,representation.text.entity_name,"Blind correct: truncated company names, not city names.",company,sherlock
sherlock,,,"[""N/A"", ""N/A"", ""N/A""]",representation.text.plain_text,low,representation.text.entity_name,1.0000,no,representation.text.plain_text,"Both low confidence; values are N/A placeholders, plain_text is appropriate.",range,sherlock
sherlock,,,"[""Golden"", ""Aber"", ""Russell"", ""Leatherman"", ""Nagle"", ""Waldfogel"", ""Yoshikawa"", ""Farrow and Schorr"", ""Runyan"", ""Golden""]",identity.person.last_name,high,geography.location.country,0.0750,no,identity.person.last_name,"Blind correct: these are last names (Golden, Russell, Nagle), FT predicted country with very low confidence.",person,sherlock
sherlock,,,"[""Mo\u00ebt & Chandon"", ""Veuve Cliquot"", ""Dom P\u00e9rignon"", ""Laurent Perrier"", ""Mumm"", ""Perrier-Jou\u00ebt"", ""Roederer/Cristal"", ""Bollinger"", ""Krug"", ""Pommery""]",representation.text.entity_name,high,geography.location.region,0.3000,no,representation.text.entity_name,"Blind correct: champagne brand names, not geographic regions. FT confused with low confidence.",brand,sherlock
sherlock,,,"["""", ""BLND"", ""DEAF"", ""WCHR"", ""WCHS"", ""WCHC"", ""WCMP"", ""WCBD"", ""Blindenhund"", """"]",representation.discrete.categorical,medium,representation.text.entity_name,0.5000,no,representation.discrete.categorical,"Blind correct: airline/service codes (BLND, DEAF, WCHR), FT picked entity_name.",service,sherlock
sherlock,,,"[""FSLR"", ""SPWR"", ""SOL""]",representation.text.word,medium,representation.identifier.alphanumeric_id,0.6670,no,representation.identifier.alphanumeric_id,"FT correct: FSLR/SPWR/SOL are stock ticker symbols, alphanumeric_id is reasonable; FT confidence higher.",symbol,sherlock
sherlock,,,"[""CDs, Adult Nonfiction"", ""CDs, Adult Nonfiction"", ""CDs, Adult Nonfiction"", ""CDs, Adult Nonfiction"", ""CDs, Adult Nonfiction""]",representation.discrete.categorical,medium,representation.text.entity_name,1.0000,no,representation.text.entity_name,"FT correct: 'CDs, Adult Nonfiction' is a collection/category description, entity_name fits better than categorical.",collection,sherlock
sherlock,,,"[""Blame it on the Kids"", ""One Way Ticket"", ""7\"""", ""Lost Boys"", ""Escupe 7\"""", ""7\"""", ""No Hay Descanso"", ""Posh Hits Vol 1"", ""Cottage Cheese from the Lips of Death"", ""La Vida Es El Producto de Nuestra Esperanza y las Visiones Irreales""]",representation.text.entity_name,high,representation.text.entity_name,0.1250,yes,representation.text.entity_name,,album,sherlock
