idx	gold	pred	gold_verdict	lever	corpus_honest_risk	confidence	fix
0	container.object.csv	representation.text.entity_name	model_wrong	sharpen_rule	low	med	NEW embedded-CSV detector: when the column HEADER is itself a delimiter-joined list of field names (>=2 commas, no spaces-as-words) AND >=90% of values split on that delimiter into a CONSISTENT arity matching the header's field count -> container.object.csv. Determining signal = structural (header-a
1	datetime.component.year		model_wrong	veto_misfire_fix	low	low	raw_sense=year AND ydf=year both correct on a CONSTANT column (header '1998', all values '1998'); composed blanked. '1998' passes the year validator (type:year, 1900-2100), so the validation veto should NOT fire — a constant/single-distinct-value demotion (or wide-table pivot guard) is blanking a va
2	datetime.component.year	unknown	values_missing	header_corroboration	na	low	No values on disk (raw_sense empty, values empty) -> unscoreable by any value rule. Header 'publicationyear' contains 'year'; header_hint substring already maps *year* -> datetime.component.year but cannot fire with zero values to classify (engine emits unknown for empty columns). Only a header-only
3	datetime.epoch.unix_milliseconds	identity.commerce.ean	model_wrong	veto_misfire_fix	low	high	composed ean comes from the SEMANTIC header-hint classifier (model2vec_prep maps barcode/gtin/ean->ean; 'Submission Time' embeds near commerce ids) OVERRIDING raw_sense=datetime.offset.utc. Extend header_hint_value_corroboration (mod.rs ~1714, currently scoped to year/unix_seconds/unix_milliseconds 
4	datetime.epoch.unix_milliseconds	identity.commerce.ean	model_wrong	sharpen_rule	high	low	HARD case. Header 'idPedido' (order id) is NOT time-ish, so header corroboration cannot help; raw_sense=isbn (model itself mis-fired). Only a value-only ms-epoch rule (bare 13-digit in [1e12,2e12], all dividing to plausible recent dates, tightly clustered) could recover it -> unix_milliseconds. This
5	datetime.epoch.unix_milliseconds	unknown	model_wrong	veto_misfire_fix	low	high	raw_sense=unix_ms is CORRECT; the validation veto blanked it to unknown because a header/sibling hint promoted a sibling datetime leaf (ydf=unix_seconds) whose strict validator the 13-digit values fail. Add an EPOCH arm to veto_shape_fallback (validation_veto.rs:121) / resolve_veto_outcome: a vetoed
6	datetime.epoch.unix_seconds	identity.medical.npi	model_wrong	veto_misfire_fix	low	high	Identical mechanism to idx 3: semantic header-hint (npi) clobbers raw_sense=unix_seconds (which was CORRECT). Same fix: decline an identifier header-hint (npi/ean/upc/isbn) when values are bare 10-digit ints in epoch range [1e9,2e9] (and/or raw_sense already datetime.*). raw_sense unix_seconds then 
7	datetime.epoch.unix_seconds	representation.numeric.decimal_number	debatable	header_corroboration	med	med	Epoch-seconds stored as FLOAT ('1240707494.0'); the integer-only unix_seconds validator ^\d{10}$ rejects the '.0', so the column stays decimal_number. Rule: strip a single trailing '.0', and if the resulting 10-digit int is in [1e9,2e9] AND header is time-ish (created/updated/timestamp/date/time/_at
8	datetime.epoch.unix_seconds	representation.numeric.decimal_number	debatable	header_corroboration	med	med	Duplicate of idx 7 (header 'Created', value 1285437595.0 = Sep-2010 s-epoch as float). Same '.0'-strip + 10-digit [1e9,2e9] + time-ish-header -> unix_seconds rule.
9	datetime.epoch.unix_seconds	representation.numeric.decimal_number	debatable	header_corroboration	med	med	Duplicate of idx 7 (header 'Created', value 1177678595.0 = Apr-2007 s-epoch as float). Same '.0'-strip + 10-digit [1e9,2e9] + time-ish-header -> unix_seconds rule.
10	datetime.epoch.unix_seconds	unknown	model_wrong	veto_misfire_fix	low	high	raw_sense=unix_seconds CORRECT; vetoed to unknown because a hint promoted iso_8601 (ydf=iso_8601), whose delimited-ISO validator the bare 10-digit values fail. Same epoch arm in veto_shape_fallback as idx 5: vetoed + >=95% bare 10-digit ints in [1e9,2e9] -> unix_seconds instead of unknown. Header 'e
11	datetime.epoch.unix_seconds	unknown	model_wrong	veto_misfire_fix	low	high	Duplicate of idx 10 (header 'earningsTimestampStart', constant 1589540340 = May-2020 s-epoch). Same veto epoch-arm fix.
12	datetime.epoch.unix_seconds	unknown	model_wrong	veto_misfire_fix	low	high	Duplicate of idx 10 (header 'earningsTimestamp', constant 1620331200 = May-2021 s-epoch). Same veto epoch-arm fix.
13	datetime.timestamp.iso_8601_milliseconds	datetime.timestamp.iso_milliseconds	debatable	gold_readjudicate	na	med	composed is non-empty so the engine SAW values; datetime_format_refinement is deterministic and format-determined. The only difference between the two labels is a trailing Z (zoned iso_8601_milliseconds vs zoneless iso_milliseconds, the leaf added by spec 2026-06-19-zoneless-iso-datetime-leaves). If
14	datetime.timestamp.sql_standard	datetime.timestamp.iso_milliseconds	debatable	gold_readjudicate	na	med	sql_standard ('YYYY-MM-DD HH:MM:SS', space sep, no ms) vs iso_milliseconds (ISO 'T' + ms) are genuinely different shapes; datetime_format_refinement reads the shape deterministically. If it emitted iso_milliseconds the values had T+ms -> engine correct, gold mislabeled (or the column is format-mixed
15	datetime.timestamp.sql_standard	datetime.timestamp.iso_milliseconds	gold_mislabeled	gold_readjudicate	na	high	Engine is already correct. Raw value is '2026-06-08T15:43:22.000' (T-separated, zoneless milliseconds) -> datetime_format_refinement deterministically emits iso_milliseconds. sql_standard requires a SPACE separator and forbids fractional seconds, so gold cannot be sql_standard. Correct gold to datet
16	datetime.timestamp.sql_standard	datetime.timestamp.iso_milliseconds	gold_mislabeled	gold_readjudicate	na	high	Engine correct. Value '2013-06-04T00:00:00.000' = T-sep zoneless millis; datetime_format_refinement emits iso_milliseconds (confirmed, rule fired). sql_standard (space-sep, no fraction) is mutually exclusive with this shape. Relabel gold -> iso_milliseconds.
17	datetime.timestamp.sql_standard	datetime.timestamp.iso_milliseconds	gold_mislabeled	gold_readjudicate	na	high	Identical to idx 16 (same file, location_start_date = '2013-06-04T00:00:00.000'). Engine emits iso_milliseconds via datetime_format_refinement. Relabel gold -> iso_milliseconds.
18	datetime.timestamp.sql_standard	unknown	gold_mislabeled	new_type	low	med	Value is '2021-10-25 00:00' (space separator, HH:MM, NO seconds). Matches no leaf in datetime_format.rs (sql_standard requires HH:MM:SS), so the deterministic parser asserts nothing and composed=unknown. gold=sql_standard is wrong (no seconds). Add an exact-anchored minute-precision delimited leaf e
19	finance.currency.amount	representation.numeric.decimal_number	debatable	header_corroboration	high	high	DOCUMENTED HARD WALL (memory currency-gold-gap-is-column-level). Value '68070.52' is a bare number, zero in-value currency symbols -> value-indistinguishable from decimal_number. Model itself emits decimal (multi-branch-sibling). Only 'this is money' signal is the header (regular_gross_paid). The on
20	finance.currency.amount	representation.numeric.decimal_number	debatable	header_corroboration	high	high	Same wall. Value '70264.0' bare. Composed=decimal via the SHIPPED amount_bare_number_veto:base_salary (deliberate demotion). The veto exists precisely because the model over-emitted amount 8:1 wrong; net +15 gold cols from demoting. base_salary(amount) is value-identical to netIncome(integer in gold
21	finance.currency.amount	representation.numeric.decimal_number	debatable	header_corroboration	high	high	Same wall. '9415.4' bare, model emits decimal (multi-branch-sibling). No value-level currency signal. Unreachable without a header-corroborated currency rule (high risk, policy-blocked).
22	finance.currency.amount	representation.numeric.decimal_number	debatable	header_corroboration	high	high	Same wall. '7712.32' bare. Composed=decimal via si_number_override_no_suffix rule. No value-level currency signal.
23	finance.currency.amount	representation.numeric.integer_number	debatable	header_corroboration	high	high	Same wall, integer form. Value '265000' bare integer (UK property price). Composed=integer via SHIPPED amount_bare_number_veto:price. Value-identical to any large bare accounting integer. Header 'price' is money-ish but cannot be separated from 'netIncome' bare ints. Do not propose a value guard.
24	geography.address.postal_code	geography.transportation.unlocode	model_wrong	sharpen_rule	low	high	Value 'CM13 3GF' is a UK postcode: matches EN_GB postal pattern ^[A-Z]{1,2}\d[A-Z\d]?\s?\d[A-Z]{2}$ and does NOT match unlocode's own shape ^[A-Z]{2}[A-Z2-9]{3}$ (unlocode is 5 alnum, no space, no digit after the 2 letters). Model emits unlocode@0.97 on the isolated column and no rule overrides it. 
25	geography.coordinate.longitude	geography.coordinate.latitude	model_wrong	header_corroboration	low	high	Values all ~-73.9 (NYC longitude); all |v|<=90 so disambiguate_coordinates() (value_sharpen.rs ~L1364) hits its 'all <=90 -> latitude' fallback. Range alone CANNOT separate NYC lon(-74) from lat(40). Add header corroboration inside disambiguate_coordinates: if header matches longitude|lon|lng|^x$ ->
