# finetype profile A/B — wall clock, alternated runs
# date	2026-07-28T10:34:34Z
# files	eval/bench/multicolumn-38.txt	(38 inputs)
# repeats	5
# a	v0.6.53-shipped	/opt/homebrew/Cellar/finetype/0.6.53/bin/finetype	finetype 0.6.53	45d93cf9a19192dec1755409e2dcd2004b08400ae695b8bfe9de2c04c8429c20
# b	0.6.54-local	./target/release/finetype	finetype 0.6.54	157bba98e7e32edd0b65d55266d6889701541a712d2921f456019ba15519d0c8
# the whole `profile` invocation is timed — model load, duckdb shell-out,
# classification, serialisation — and the two binaries differ by everything that
# landed between them, not by any one change.
binary	repeat	seconds
v0.6.53-shipped	1	3.6763
0.6.54-local	1	1.7626
v0.6.53-shipped	2	3.6683
0.6.54-local	2	1.7537
v0.6.53-shipped	3	3.6549
0.6.54-local	3	1.7454
v0.6.53-shipped	4	3.6629
0.6.54-local	4	1.7705
v0.6.53-shipped	5	3.7259
0.6.54-local	5	1.8041
# summary	median_s	mean_s	min_s	max_s
# v0.6.53-shipped	3.6683	3.6777	3.6549	3.7259
# 0.6.54-local	1.7626	1.7673	1.7454	1.8041
# speedup	median	2.0812
# speedup	mean	2.0810
